2MASS J1645-4521       ;Sco  ;16 45 44.6 -45 21 51 ;IR   ;EC?  ;    1.30;      ;       ;                                                       ;
BDSB 150               ;Aql  ;19 23 42.0 +14 30 47 ;IR   ;EC   ;    0.60;  5430;       ;                                                       ;Sev HII regions nearby
BDSB 153               ;Aql  ;19 23 48.0 +14 33 15 ;IR   ;EC   ;    1.10;  5430;       ;                                                       ;
BDSB 154               ;Aql  ;19 23 51.0 +14 32 57 ;IR   ;EC   ;    1.00;  5430;       ;                                                       ;
BDSB 155               ;Aql  ;19 23 55.0 +14 35 40 ;IR   ;EC   ;    1.10;  5430;       ;                                                       ;In HII reg WISE G49.58-0.38
BDSB 157               ;Aql  ;19 26 03.2 +16 20 40 ;IR   ;EC   ;    3.30;  5549;   6.25;                                                       ;In HII reg Lockman G51.36-0.00
BDSB 163               ;Ori  ;05 35 27.0 -05 03 56 ;IR   ;OC?  ;    1.50;      ;       ;                                                       ;
BDSB 167               ;Sco  ;17 37 18.0 -32 10 48 ;IR   ;OC?  ;    0.70;      ;       ;                                                       ;
BDSB 17                ;Cyg  ;19 59 08.0 +31 21 38 ;IR   ;OC?  ;    1.70;      ;       ;Camargo 610                                            ;Deeply embedded, bubble edge, sequential star formation?
BDSB 28                ;Cyg  ;21 42 24.0 +54 55 03 ;IR   ;OC?  ;    0.80;      ;       ;                                                       ;
BDSB 6                 ;Sgr  ;18 16 51.0 -18 41 52 ;IR   ;OC   ;    0.90;  4150;       ;                                                       ;
BDSB 64                ;Cam  ;04 19 33.0 +52 58 42 ;IR   ;OC?  ;    1.20;  5500;       ;YKS16 1, Russeil 193                                   ;In Sh2-208. Distance is average of 6 values (3 photometric, 3 kinematic)
BDSB 7                 ;Sgr  ;18 10 55.0 -17 41 25 ;IR   ;OC?  ;    1.90;      ;       ;                                                       ;
BDSB 83                ;Ori  ;05 36 22.0 -06 26 57 ;IR   ;OC?  ;    3.00;      ;       ;                                                       ;
BH 197                 ;Ara  ;16 46 30.0 -45 51 36 ;Op   ;OCR  ;    3.00;  2069;   7.50;Dias 12                                                ;
BH 203                 ;Sco  ;16 55 29.0 -40 49 46 ;Op   ;OC   ;    2.50;      ;       ;                                                       ;
BH 34                  ;Vel  ;08 31 12.0 -44 30 18 ;Op   ;OC?  ;   18.00;   653;   8.48;Theia 149                                              ;
BH 91                  ;Car  ;10 16 58.8 -58 41 42 ;Op   ;OC   ;   18.00;   749;   8.21;                                                       ;
BHR 71 Grp             ;Mus  ;12 01 36.7 -65 08 50 ;IR   ;EC   ;    4.00;  2700;       ;                                                       ;In BHR 71, OCs? VVVX CL 1 & VVVX CL 2 lies in its n part
BKF 48                 ;Sco  ;17 07 27.0 -37 41 29 ;IR   ;OC?  ;    0.35;      ;       ;                                                       ;Poor cluster?
BKF 49                 ;Sco  ;17 15 17.0 -30 13 42 ;Op   ;OC   ;    0.80;      ;       ;                                                       ;
BKH G81.53+0.66        ;Cyg  ;20 38 01.3 +42 16 29 ;IR   ;OC?  ;    1.10;      ;       ;                                                       ;
BKH G82.57+0.12        ;Cyg  ;20 43 44.6 +42 46 51 ;IR   ;OC?  ;    3.30;      ;       ;                                                       ;In AFGL 2636
BKH G82.58+0.21        ;Cyg  ;20 43 25.7 +42 50 29 ;IR   ;OC?  ;    2.50;      ;       ;                                                       ;In AFGL 2636
BMP 1                  ;Aur  ;05 19 33.6 +39 31 55 ;Op   ;OC   ;    5.00;  3300;   9.00;                                                       ;ArXiv:1611.00117v1
BSP 1                  ;Aql  ;18 46 59.1 -02 06 26 ;IR   ;SFR  ;    8.40; 11600;       ;                                                       ;From Billot et al. (2011ApJ...735...28B)
