Name                   ;Cns  ;RA          De       ;Wv   ;Type ;   Diam ;  Dist;    Age;Aliases                                                ;Notes
Camargo 680            ;Cas  ;01 07 50.0 +65 21 23 ;IR   ;OC?  ;    5.00;      ;       ;                                                       ;In group, main cluster, dusty core
Majaess 21             ;Cas  ;01 07 55.0 +65 20 26 ;IR   ;OC?  ;   18.00;      ;       ;                                                       ;
Camargo 681            ;Cas  ;01 07 56.7 +63 32 02 ;Op   ;OC   ;   33.40;  3704;   8.71;                                                       ;
Pfleiderer 1           ;Cas  ;01 08 02.4 +65 39 43 ;Op   ;OCR? ;   10.80;  4126;   9.00;                                                       ;
NGC 381                ;Cas  ;01 08 22.6 +61 35 10 ;Op   ;OC   ;   11.20;  1141;   8.70;Santa 103                                              ;
Camargo 683            ;Cas  ;01 08 32.0 +63 07 56 ;IR   ;OC?  ;    1.50;      ;       ;                                                       ;In Majaess 22
Camargo 682            ;Cas  ;01 08 39.0 +63 15 14 ;Op   ;OC?  ;    6.00;      ;       ;                                                       ;
Camargo 685            ;Cas  ;01 08 49.0 +62 33 23 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;In triplet
BDSB 51                ;Cas  ;01 08 50.0 +63 07 40 ;IR   ;OCR  ;    2.00; 12002;   8.15;Majaess 22                                             ;Very poor
Camargo 684            ;Cas  ;01 08 57.0 +62 51 08 ;IR   ;OC?  ;    5.00;      ;       ;                                                       ;At edge of a bubble, impressive
Camargo 686            ;Cas  ;01 09 02.0 +62 38 00 ;IR   ;OC?  ;    5.00;      ;       ;                                                       ;In triplet
Camargo 687            ;Cas  ;01 09 14.0 +62 39 51 ;IR   ;OC?  ;    3.00;      ;       ;                                                       ;In triplet
VB73 105               ;Cas  ;01 09 46.0 +61 44 01 ;Op   ;OC?  ;   11.00;      ;       ;                                                       ;
TC 0110+6131           ;Cas  ;01 10 34.0 +61 31 00 ;Op   ;OC?  ;   10.00;      ;       ;                                                       ;
Camargo 688            ;Cas  ;01 10 41.0 +63 41 06 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;At edge of dust bubble
TC 0110+6139           ;Cas  ;01 10 42.0 +61 39 30 ;Op   ;OC?  ;    5.00;      ;       ;                                                       ;
Majaess 23             ;Cas  ;01 10 48.0 +63 34 14 ;IR   ;OC?  ;    3.00;      ;       ;                                                       ;
Teutsch 175            ;Cas  ;01 11 22.0 +57 33 12 ;Op   ;OC?  ;    5.50;      ;       ;Lanning 231 Cl                                         ;
Camargo 691            ;Cas  ;01 12 59.0 +63 05 33 ;Op   ;OC?  ;    2.20;      ;       ;                                                       ;Impressive dusty core
VB73 36                ;Cas  ;01 13 16.5 +64 27 57 ;Op   ;OC?  ;   12.00;      ;       ;                                                       ;
HD 7252 Grp            ;Cas  ;01 14 18.0 +60 54 00 ;Op   ;OC?  ;   25.00;   787;       ;Alessi J0114+6054, TC 0114+6054                        ;
Streicher 5            ;Cas  ;01 14 48.0 +59 47 34 ;Op   ;OC?  ;    5.50;      ;       ;                                                       ;
NGC 433                ;Cas  ;01 15 11.5 +60 07 59 ;Op   ;OC   ;    7.00;  2034;   7.06;Stock 22                                               ;
Camargo 692            ;Cas  ;01 15 37.0 +64 46 34 ;IR   ;OC?  ;    2.00;      ;       ;                                                       ;Substructure in Majaess 24
Majaess 24             ;Cas  ;01 15 41.0 +64 46 41 ;IR   ;OC?  ;   15.00;      ;       ;                                                       ;
Camargo 693            ;Cas  ;01 16 00.0 +64 47 25 ;IR   ;OC?  ;    2.50;      ;       ;                                                       ;Substructure in Majaess 24
Camargo 696            ;Cas  ;01 16 18.0 +64 21 37 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;Dusty stellar core
Camargo 695            ;Cas  ;01 16 37.0 +64 50 44 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;In group, impressive
Camargo 697            ;Cas  ;01 16 48.0 +64 45 41 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;In group, impressive
Camargo 698            ;Cas  ;01 17 46.0 +64 25 59 ;IR   ;OC?  ;    8.00;      ;       ;                                                       ;Impressive core
Teutsch 176            ;Cas  ;01 18 47.5 +59 26 38 ;Op   ;OC?  ;    1.30;      ;       ;                                                       ;
FSR 536                ;Cas  ;01 19 40.6 +63 01 34 ;Op   ;OC   ;    7.10;  3152;   8.40;SAI 13                                                 ;
VB73 43                ;Cas  ;01 20 33.2 +64 43 47 ;Op   ;OC?  ;   24.00;  1205;       ;Santa 41                                               ;
Majaess 25             ;Cas  ;01 21 36.0 +62 25 41 ;IR   ;OC?  ;    2.00;      ;       ;                                                       ;
FSR 538                ;Cas  ;01 22 02.9 +63 42 11 ;Op   ;OC   ;   13.80;  2146;   8.86;                                                       ;
Iss 40                 ;Cas  ;01 22 15.1 +61 00 45 ;Op   ;OC?  ;    3.80;      ;       ;VB73 113                                               ;
BDSB 52                ;Cas  ;01 23 06.0 +61 51 23 ;IR   ;OC?  ;    2.60;      ;       ;                                                       ;
Lotkin-Popova 1        ;Cas  ;01 23 20.4 +58 24 36 ;Op   ;OC   ;    6.00;  1558;   8.53;Kronberger J0123+5824                                  ;
Lotkin-Popova 1        ;Cas  ;01 23 20.4 +58 24 36 ;Op   ;OC   ;    6.00;  1558;  8.53 ;                                                       ;
