Name                  ;Const;Coordinates (J2000.0);Wave ;Type ;Dia_arcm;Dst_pc;E(B-V);Log_t  ;Aliases                                                                                                    ;Comments
Bica 243              ;Per  ;04 26 19.0 +46 06 04 ;Op   ;OC?? ;    2.50;      ;      ;       ;                                                                                                           ;
Bica 25               ;Sgr  ;17 50 02.0 -26 50 30 ;IR   ;OC?? ;    5.00;      ;      ;       ;                                                                                                           ;
Bica 254              ;Tau  ;04 27 05.0 +26 06 17 ;IR   ;OC?? ;    7.00;      ;      ;       ;                                                                                                           ;in Taurus Clouds, inc DG Tau
Bica 255              ;Aur  ;05 16 17.0 +34 32 30 ;IR   ;***  ;    6.00;      ;      ;       ;                                                                                                           ;winds
Bica 257              ;Aur  ;05 39 45.0 +35 54 01 ;IR   ;***  ;    6.00;      ;      ;       ;                                                                                                           ;shell
Bica 259              ;Aur  ;05 37 09.0 +34 48 45 ;IR   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;poor
Bica 26               ;Sgr  ;17 51 11.0 -26 37 43 ;IR   ;OC?? ;    2.00;      ;      ;       ;                                                                                                           ;absorbed
Bica 263              ;Aur  ;05 44 05.0 +30 56 03 ;IR   ;***  ;    3.50;      ;      ;       ;                                                                                                           ;includes bright star
Bica 266              ;Aur  ;06 56 02.0 +37 35 39 ;Op   ;***  ;    5.00;      ;      ;       ;                                                                                                           ;
Bica 27               ;Sgr  ;17 50 43.0 -26 18 17 ;Op   ;OC?? ;    0.60;      ;      ;       ;                                                                                                           ;in pair
Bica 276              ;Gem  ;06 01 36.0 +25 29 11 ;IR   ;OC?? ;    4.50;      ;      ;       ;                                                                                                           ;includes shock
Bica 277              ;Tau  ;05 19 02.0 +19 03 56 ;Op   ;***  ;    3.50;      ;      ;       ;                                                                                                           ;
Bica 278              ;Gem  ;06 07 39.0 +24 24 48 ;IR   ;OC?? ;    2.00;      ;      ;       ;                                                                                                           ;deeply embedded
Bica 284              ;Ori  ;04 50 50.0 +07 42 00 ;Op   ;***  ;    3.00;      ;      ;       ;                                                                                                           ;
