name                       RA_ICRS            DE_ICRS         Diam    
COIN-Gaia_14               77.69600000   +39.1950000         18.8    
COIN-Gaia_15               76.09000000   +35.8310000         17.6    
COIN-Gaia_16               80.17900000   +37.4380000          7.1    
COIN-Gaia_17               81.24400000   +37.5580000         18.1    
COIN-Gaia_18               78.40800000   +35.4980000         28.7    
COIN-Gaia_19               82.18800000   +34.2900000         20.6    
COIN-Gaia_2                15.06000000   +55.4090000         22.4    
COIN-Gaia_20               78.63400000   +31.6910000         31.0    
COIN-Gaia_21               84.76600000   +28.4020000         11.8    
COIN-Gaia_22               91.06000000   +31.6020000         10.3    
COIN-Gaia_24               90.69300000   +23.2030000         23.3    
COIN-Gaia_25               91.69100000   +20.2760000         34.9    
COIN-Gaia_26               83.77100000   +15.7210000         12.8    
COIN-Gaia_27               85.76000000   +13.7430000         23.4    
COIN-Gaia_28               96.33300000   +11.1590000         13.8    
COIN-Gaia_29               15.54800000   +63.6480000         21.2    
COIN-Gaia_3                18.73900000   +60.5050000         15.1    
COIN-Gaia_30               21.08000000   +70.5740000         30.5    
COIN-Gaia_31               21.30700000   +61.1350000         11.2    
COIN-Gaia_32               28.19400000   +63.0660000         16.7    
COIN-Gaia_33               30.27600000   +61.4750000          6.0    
COIN-Gaia_34               31.23100000   +61.7760000         22.0    
COIN-Gaia_35               33.47200000   +60.0390000          5.2    
COIN-Gaia_36               36.25600000   +59.9750000         12.6    
COIN-Gaia_37               45.37700000   +58.3290000        101.4    
COIN-Gaia_38               51.47200000   +51.0720000         15.8    
COIN-Gaia_39               69.61200000   +42.9500000         29.3    
COIN-Gaia_4                26.12900000   +58.7560000         12.8    
COIN-Gaia_40               81.87400000   +33.5260000          8.8    
COIN-Gaia_41               89.83500000   +19.0260000         17.8    
COIN-Gaia_5                27.40800000   +58.0780000         26.9    
COIN-Gaia_6                28.10100000   +58.6360000          9.2    
COIN-Gaia_7                33.73800000   +58.4660000         18.2    
COIN-Gaia_8                39.04800000   +50.0130000         37.4    
COIN-Gaia_9                47.74800000   +48.0230000         31.8    
CPM_37_Cl                 334.04291670   +52.3575000          7.0    
CSS_1_B                    92.28000000   +21.8422222          3.0    
CSS_2                      92.22500000   +21.6402778          2.7    
CSS_4_A                    92.16708300   +21.5180560          3.2    
CSS_5                       9.20000000   +63.4838889          3.5    
Caballero-Solano_1         83.00000000    -0.2991667        108.0    
Camargo_1000              110.07583330   -24.1647222          0.5    
Camargo_1006              111.17916670   -24.3277778          2.5    
Camargo_1028              111.05416670   -25.8338889          1.6    
Camargo_1030              111.02500000   -25.9052778          2.0    
Camargo_1031              111.06666670   -25.9133333          1.0    
Camargo_1033              109.54166670   -26.8561111          6.0    
Camargo_1034              111.07166670   -26.2675000          1.0    
Camargo_209               104.80000000   -11.9802778          3.8    
Camargo_476               270.55416670   -22.4655556          1.0    
Camargo_530               294.70000000   +23.1419444          1.4    
Camargo_540               295.86666670   +23.3447222          1.0    
Camargo_547               295.24583330   +24.0786111          0.6    
Camargo_560               296.46875000   +24.2952778          5.0    
Camargo_582               298.82380070   +28.1717545         19.9    
Camargo_983               110.58750000   -22.2566667          2.6    
Camargo_994               109.81666670   -23.9402778          4.0    
Car_II                    114.10660000   -57.9991000          8.7    
