Name                          ;Alias                         ;TotCl; TotAl; TotC; FracCl%; FracAl%
FSR 942                       ;FoF 681                       ;     ;      ;     ;        ;
FSR 942                       ;FoF 681                       ;  136;    97;   65;  47.794;  67.010
FSR 942                       ;SAI 59                        ;     ;      ;     ;        ;
FSR 946                       ;Majaess 76                    ;     ;      ;     ;        ;
FSR 948                       ;FoF 1383                      ;     ;      ;     ;        ;
FSR 948                       ;FoF 1383                      ;   35;    59;   11;  31.429;  18.644
FSR 948                       ;SAI 64                        ;     ;      ;     ;        ;
FSR 948                       ;Saloranta J0625+1551          ;     ;      ;     ;        ;
FSR 951                       ;Camargo 974                   ;     ;      ;     ;        ;
FSR 951                       ;FoF 1380                      ;     ;      ;     ;        ;
FSR 951                       ;FoF 1380                      ;  169;   193;  130;  76.923;  67.358
FSR 951                       ;Theia 2489                    ;     ;      ;     ;        ;
FSR 951                       ;Theia 2489                    ;  169;   180;  129;  76.331;  71.667
FSR 951                       ;UBC 79                        ;     ;      ;     ;        ;
FSR 952                       ;Camargo 975                   ;     ;      ;     ;        ;
FSR 953                       ;FoF 926                       ;     ;      ;     ;        ;
FSR 953                       ;FoF 926                       ;   79;    92;   57;  72.152;  61.957
FSR 959                       ;NGC 2304                      ;     ;      ;     ;        ;
FSR 961                       ;NGC 2194                      ;     ;      ;     ;        ;
FSR 963                       ;Skiff 4                       ;     ;      ;     ;        ;
FSR 963                       ;Skiff J0614+12.9              ;     ;      ;     ;        ;
FSR 968                       ;FoF 682                       ;     ;      ;     ;        ;
FSR 968                       ;FoF 682                       ;   29;    67;   21;  72.414;  31.343
FSR 971                       ;NGC 2141                      ;     ;      ;     ;        ;
FSR 972                       ;NGC 2259                      ;     ;      ;     ;        ;
FSR 972                       ;NGC 2420                      ;     ;      ;     ;        ;
FSR 973                       ;Collinder 74                  ;     ;      ;     ;        ;
FSR 974                       ;FoF 371                       ;     ;      ;     ;        ;
FSR 974                       ;FoF 371                       ;   48;    50;   19;  39.583;  38.000
FSR 977                       ;Riddle 1                      ;     ;      ;     ;        ;
FSR 977                       ;Teutsch 34                    ;     ;      ;     ;        ;
FSR 977                       ;Theia 3205                    ;   16;   239;    5;  31.250;   2.092
FSR 979                       ;SAI 65                        ;     ;      ;     ;        ;
FSR 981                       ;IC 446                        ;     ;      ;     ;        ;
FSR 983                       ;Kernya 31                     ;     ;      ;     ;        ;
FSR 983                       ;Renou 42                      ;     ;      ;     ;        ;
FSR 985                       ;SAI 62                        ;     ;      ;     ;        ;
FSR 986                       ;Alessi 53                     ;     ;      ;     ;        ;
FSR 987                       ;Czernik 25                    ;     ;      ;     ;        ;
FSR 989                       ;Trumpler 5                    ;     ;      ;     ;        ;
FSR 990                       ;NGC 2264 North                ;     ;      ;     ;        ;
FSR 995                       ;NGC 2355                      ;     ;      ;     ;        ;
FZ CMa                        ;SGM 1                         ;     ;      ;     ;        ;
Feibelman 1                   ;FoF 1762                      ;     ;      ;     ;        ;
Feibelman 1                   ;FoF 494                       ;   30;  1427;   26;  86.667;   1.822
Feibelman 1                   ;Iss 274                       ;     ;      ;     ;        ;
Feibelman 1                   ;P Cyg                         ;     ;      ;     ;        ;
Feibelman 1                   ;Turner 10                     ;     ;      ;     ;        ;
Feigelson 1                   ;Bica 476                      ;     ;      ;     ;        ;
Feigelson 1                   ;Epsilon Cha                   ;     ;      ;     ;        ;
Feinstein 1                   ;FoF 1494                      ;     ;      ;     ;        ;
Feinstein 1                   ;FoF 1506                      ;     ;      ;     ;        ;
Feinstein 1                   ;UBC 266                       ;     ;      ;     ;        ;
Feinstein 1                   ;UBC 658                       ;     ;      ;     ;        ;
Feinstein 1                   ;contains FoF 1494             ;     ;      ;     ;        ;
Ferrero 1                     ;ASCC 96                       ;     ;      ;     ;        ;
Ferrero 1                     ;Alessi 77                     ;     ;      ;     ;        ;
Ferrero 1                     ;Slotegraaf 61                 ;     ;      ;     ;        ;
Ferrero 1                     ;Theia 418                     ;     ;      ;     ;        ;
Ferrero 1                     ;Theia 418                     ;  147;   247;   86;  58.503;  34.818
Ferrero 11                    ;ASCC 22                       ;     ;      ;     ;        ;
Ferrero 11                    ;Theia 488                     ;     ;      ;     ;        ;
