Srcs: WEBDA Lit, Bukowiecki, SAI, Malysheva, Tadross, MWSC, Froebrich, Dambis, Lata, Buckner+13,14 Loktin, XHIP, Pleiades (Mamajek HP),
Hyades (OCs BOOK), Rup I, Rup III, Melnik95,09

Cluster Name                           dist     EB-V   log t    Authors                          Year  Reference

2MASS-GC01                             3370                     Baumgart                         2021, website
2MASS-GC02                             5500                     Baumgart                         2021, website
AB Doradus                               29.3                   ANDERSON E., FRANCIS C.          2012, ASTRON. LETTERS 38, 331A (XHIP)
FSR 1607                               1561     0.10    9.565   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1608                               7354     0.52    9.200   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1609                               4467     0.00    9.350   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 161                                3620     0.02    9.500   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1610                               4640     0.52    9.300   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1611                               1800                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1611                               1900             9.30    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1613                               1965     0.10    9.490   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1614                               1600             8.30    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1614                               1900                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1616                               1963     1.04    8.300   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1617                               1828     0.44    8.900   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 162                                1721     0.69    8.950   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1620                               2304     0.58    9.185   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1621                               1015     0.21    8.000   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1622                               6017     1.87    8.600   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1623                               6915     0.63    8.900   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1625                               2269     0.69    8.875   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1626                               2671     0.21    9.600   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1627                               1500             9.70    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1627                               3500                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1629                               3597     0.06    9.700   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 163                                3412     1.04    8.550   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1630                               2368     0.71    6.400   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1631                               1456     0.10    9.500   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1633                               1400                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1633                               1400             7.50    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1634                               6310     0.00    9.300   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1635                               6271     0.04    9.300   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1637                               2300             8.90    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1637                               2400                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1638                               7702     0.21    9.500   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1639                               7943     0.00    9.300   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1640                               6213     0.10    9.200   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1641                               1934     0.68    8.950   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1642                               3211     0.21    9.500   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1645                               1278     0.52    8.000   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1646                               4784     0.63    9.350   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1647                               2436     0.21    9.455   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1648                               1050     0.29    8.340   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1649                               7086     0.77    9.150   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 165                                2628     1.25    6.910   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1650                               4103     0.73    9.000   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1651                               3602     0.36    9.400   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1652                               1213     0.25    9.100   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1653                               3258     1.04    8.850   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1654                               4015     0.87    8.780   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1655                               1600             8.40    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1655                               2000                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1656                               5087     0.52    9.250   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1657                               5409     0.73    9.000   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1657                               7000             9.00    FROEBRICH ET AL.                 2010, MNRAS 409, 1281
FSR 1658                               4239     0.35    9.550   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1659                               1764     0.83    8.315   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 166                                1904     0.94    9.045   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1661                               4331     0.21    9.400   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1663                               1513     0.63    8.150   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1663                               2150     1.01    8.90    GLUSHKOVA E.V., ET AL.           2010, PAZH, 36, 83
FSR 1666                               2677     1.12    8.150   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1667                               5175     0.25    9.350   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1668                               1184     0.42    8.900   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1669                               1105     0.42    8.000   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 167                                1600             8.70    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 167                                1600             9.00    FROEBRICH ET AL.                 2010, MNRAS 409, 1281
FSR 167                                1993     1.25    8.200   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 167                                2400                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1670                               2500             8.50    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1670                               5100                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1672                               3020     0.00    9.600   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1673                               2154     0.10    9.500   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1674                               3057     0.23    9.500   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1675                               5666     0.10    9.200   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1676                               4570     0.31    9.450   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1678                               1791     0.57    9.000   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1679                               3400             8.80    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1679                               4200                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1680                               1458     0.56    8.590   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1682                               1388     0.58    9.160   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1683                               3848     0.23    9.170   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1684                               2733     0.05    9.400   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1685                               1513     0.31    9.250   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1686                               4020     1.48    8.95    GLUSHKOVA E.V., ET AL.           2010, PAZH, 36, 83
FSR 1686                               5405     1.67    8.500   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1688                               1469     0.82    8.455   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1689                               2282     0.83    9.275   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
