Problems:
   some clusters have equal values for Kharchenko+ 2013 and 2016DAML
   some clusters have equal values for 2017AstBu..72..257L and 2016DAML
   some clusters are known by more than one name in this file

2MASS-GC 1               ; BDCC                ; 6.80 ; 10.10
Alessi 43                ; Dias 2021           ; 0.294;  6.763
Alessi 43                ; Tarricq 2021        ;      ;  7.09
Alessi 44                ; 2020A&A...640A...1C ; 0.222;  8.35
Alessi 44                ; Dias 2021           ; 0.347;  8.056
Alessi 44                ; Tarricq 2021        ;      ;  8.35
Alessi 5                 ; 2016DAML            ; 0.15 ;  7.60
Alessi 5                 ; 2017AstBu..72..257L ; 0.150;  7.600
Alessi 5                 ; 2019 Bossini        ; 0.191;  7.723
Alessi 5                 ; 2020A&A...640A...1C ; 0.194;  7.83
Alessi 5                 ; Dias 2021           ; 0.130;  7.785
Alessi 5                 ; Kharchenko+ 2013    ; 0.208;  7.765
Alessi 5                 ; Tarricq 2021        ;      ;  7.83
Alessi 50                ; BDCC                ; 0.57 ;  9.10
Alessi 52                ; 2016DAML            ; 1.08 ;  9.15
Alessi 53                ; 2016DAML            ; 0.80 ;  8.40
Alessi 53                ; 2017AstBu..72..257L ; 0.655;  8.970
Alessi 53                ; 2020A&A...640A...1C ; 0.603;  7.88
Alessi 53                ; Dias 2021           ; 0.640;  8.524
Alessi 53                ; Kharchenko+ 2013    ; 0.635;  7.000
Alessi 56                ; 2016DAML            ; 2.00 ;
Alessi 56                ; Kharchenko+ 2013    ; 2.186;  8.585
Alessi 57                ; 2016DAML            ; 2.11 ;
Alessi 57                ; Kharchenko+ 2013    ; 1.874;  8.650
Alessi 58                ; BDCC                ; 0.50 ;  8.20
Alessi 59                ; 2016DAML            ; 0.59 ;  7.6
Alessi 59                ; 2017AstBu..72..257L ; 0.421;  8.240
Alessi 59                ; Dias 2021           ; 0.524;  8.755
Alessi 59                ; Kharchenko+ 2013    ; 0.770;  7.000
Alessi 6                 ; 2019 Bossini        ; 0.232;  8.777
Alessi 6                 ; 2020A&A...640A...1C ; 0.219;  8.63
Alessi 6                 ; Dias 2021           ; 0.284;  8.785
Alessi 6                 ; Kharchenko+ 2013    ; 0.189;  8.320
Alessi 6                 ; Tarricq 2021        ;      ;  8.65
Alessi 60                ; 2016DAML            ; 0.31 ;  8.40
Alessi 60                ; 2017AstBu..72..257L ; 0.158;  8.740
Alessi 60                ; 2019 Bossini        ; 0.294;  8.338
Alessi 60                ; 2020A&A...640A...1C ; 0.259;  8.35
Alessi 60                ; Dias 2021           ; 0.314;  8.500
Alessi 60                ; Kharchenko+ 2013    ; 0.208;  8.640
Alessi 60                ; Tarricq 2021        ;      ;  8.43
Alessi 62                ; 2017AstBu..72..257L ; 0.145;  9.050
Alessi 62                ; 2019 Bossini        ; 0.195;  8.964
Alessi 62                ; 2020A&A...640A...1C ; 0.244;  8.84
Alessi 62                ; Dias 2021           ; 0.273;  8.997
Alessi 62                ; Kharchenko+ 2013    ; 0.167;  8.950
Alessi 62                ; Tarricq 2021        ;      ;  8.86
Alessi 8                 ; 2016DAML            ; 0.09 ;  8.15
Alessi 8                 ; 2019 Bossini        ; 0.103;  8.137
Alessi 8                 ; 2020A&A...640A...1C ; 0.059;  8.07
Alessi 8                 ; Dias 2021           ; 0.124;  8.156
Alessi 8                 ; Kharchenko+ 2013    ; 0.090;  8.105
Alessi 8                 ; Tarricq 2021        ;      ;  8.09
Alessi 9                 ; 2020A&A...640A...1C ; 0.000;  8.45
Alessi 9                 ; Dias 2021           ; 0.050;  8.593
Alessi 9                 ; Kharchenko+ 2013    ; 0.104;  8.550
Alessi 9                 ; Tarricq 2021        ;      ;  8.45
Alessi 95                ; BDCC                ; 0.33 ;  8.20
Alessi 96                ; BDCC                ; 0.27 ;
Alessi 98                ; BDCC                ; 0.09 ;  9.00
Alessi-Teutsch 11        ; 2020A&A...640A...1C ; 0.116;  8.16
Alessi-Teutsch 11        ; Dias 2021           ; 0.071;  8.254
Alessi-Teutsch 11        ; Tarricq 2021        ;      ;  8.19
Alessi-Teutsch 12        ; 2020A&A...640A...1C ; 0.109;  7.94
Alessi-Teutsch 12        ; Dias 2021           ; 0.154;  7.935
Alessi-Teutsch 12        ; Tarricq 2021        ;      ;  7.95
Alessi-Teutsch 3         ; 2020A&A...640A...1C ; 0.147;  8.02
Alessi-Teutsch 3         ; Dias 2021           ; 0.225;  8.205
Alessi-Teutsch 3         ; Tarricq 2021        ;      ;  8.06
Alessi-Teutsch 5         ; 2020A&A...640A...1C ; 0.319;  7.27
Alessi-Teutsch 5         ; Dias 2021           ; 0.404;  7.071
Alessi-Teutsch 5         ; Tarricq 2021        ;      ;  7.28
Alessi-Teutsch 8         ; 2020A&A...640A...1C ; 0.153;  8.07
Alessi-Teutsch 8         ; Dias 2021           ; 0.203;  8.279
Alessi-Teutsch 8         ; Tarricq 2021        ;      ;  8.06
Alicante 1               ; 2016DAML            ; 0.67 ;  6.60
Alicante 1               ; 2017AstBu..72..257L ; 0.409;  7.090
Alicante 1               ; Kharchenko+ 2013    ; 0.600;  6.350
Alicante 10              ; BDCC                ;      ;  6.30
Alicante 2               ; 2016DAML            ; 1.249;  6.980
Alicante 2               ; 2017AstBu..72..257L ; 1.091;  7.165
Alicante 7               ; BDCC                ;      ;  7.30
Alicante 8               ; BDCC                ;      ;  7.26
Andrews-Lindsay 1        ; 2019 Fragkou        ; 0.83 ;  8.82
Andrews-Lindsay 1        ; BDCC                ; 0.63 ;  9.00
Andrews-Lindsay 3        ; BDCC                ; 0.36 ; 10.05
Andrews-Lindsay 5        ; 2016DAML            ; 2.415;  6.000
Andrews-Lindsay 5        ; Kharchenko+ 2013    ; 2.415;  6.000
Antalova 2               ; 2016DAML            ; 3.90 ;  9.10
Antalova 2               ; 2020A&A...640A...1C ; 0.359;  7.08
Antalova 2               ; Dias 2021           ; 0.376;  6.921
Antalova 2               ; Kharchenko+ 2013    ; 3.727;  6.000
Apriamasvili 1           ; 2016DAML            ; 0.482;  7.893
Apriamasvili 1           ; 2017AstBu..72..257L ; 0.488;  7.888
Apriamasvili 1           ; Kharchenko+ 2013    ; 0.541;  8.135
Arches                   ; BDCC                ;      ;  6.40
Archinal 1               ; 2016DAML            ; 1.52 ;  7.10
Archinal 1               ; Dias 2021           ; 1.474;  7.017
Archinal 1               ; Kharchenko+ 2013    ; 1.520;  8.000
Arp 2                    ; Baumgart 2021       ; 0.10 ; 10.1139
Arp 2                    ; Kharchenko+ 2013    ; 0.104; 10.100
Arp-Madore 1             ; Baumgart 2021       ; 0.00 ; 10.0414
Arp-Madore 2             ; 2016DAML            ; 0.570;  9.335
Arp-Madore 2             ; 2020A&A...640A...1C ; 0.466;  9.48
Arp-Madore 2             ; Kharchenko+ 2013    ; 0.570;  9.335
Arp-Madore 4             ; Baumgart 2021       ; 0.04 ;  9.9542
Auner 1                  ; 2016DAML            ; 0.32 ;  9.51
Auner 1                  ; 2017AstBu..72..257L ; 0.550;  8.720
Auner 1                  ; 2020A&A...640A...1C ; 0.309;  9.49
Auner 1                  ; Kharchenko+ 2013    ; 0.396;  9.350
Autochthe                ; arXiv:2102.08263v1  ;      ;  6.00
Aveni-Hunter 1           ; 2016DAML            ; 0.10 ;  8.26
Aveni-Hunter 1           ; 2017AstBu..72..257L ; 0.100;  8.260
Aveni-Hunter 1           ; 2020A&A...640A...1C ; 0.234;  7.02
Aveni-Hunter 1           ; Dias 2021           ; 0.162;  6.965
Aveni-Hunter 1           ; Kharchenko+ 2013    ; 0.100;  8.186
Aveni-Hunter 1           ; Tarricq 2021        ;      ;  7.02
Azat-Nikog 3             ; BDCC                ; 0.90 ;
BBJ 1                    ; 2018MNRAS.481L..11B ;      ;  7.00
BBJ 1b                   ; arXiv:1911.05709v1  ;      ;  7.54
BBJ 2                    ; 2018MNRAS.481L..11B ;      ;  7.00
BBJ 2b                   ; arXiv:1911.05709v1  ;      ;  7.54
BBJ 3                    ; 2018MNRAS.481L..11B ;      ;  7.48
BBJ 3b                   ; arXiv:1911.05709v1  ;      ;  7.54
BBJ 4                    ; 2018MNRAS.481L..11B ;      ;  7.00
BBJ 5                    ; 2018MNRAS.481L..11B ;      ;  7.00
BBJ 6                    ; 2018MNRAS.481L..11B ;      ;  7.48
BDB 103                  ; BDCC                ; 2.30 ;  6.59
BDB 104                  ; BDCC                ; 1.14 ;  6.25
BDB 106                  ; BDCC                ; 1.31 ;  6.80
BDB 11                   ; BDCC                ; 2.50 ;
BDB 114                  ; BDCC                ; 0.80 ;  8.00
BDB 116                  ; BDCC                ;      ;  6.30
BDB 118                  ; BDCC                ; 1.04 ;  6.80
BDB 12                   ; 2014ApJ...783..130R ;      ;  6.33
BDB 121                  ; BDCC                ; 1.80 ;  7.90
BDB 122                  ; BDCC                ; 2.23 ;  6.65
BDB 124                  ; BDCC                ; 0.73 ;  7.80
BDB 126                  ; BDCC                ; 1.71 ;  6.05
BDB 13                   ; BDCC                ; 1.56 ;  6.00
BDB 131                  ; BDCC                ; 1.98 ;  8.38
BDB 149                  ; BDCC                ; 0.75 ;  9.10
BDB 15                   ; BDCC                ; 2.39 ;  7.80
BDB 153                  ; BDCC                ;      ;  6.48
BDB 155                  ; BDCC                ;      ;  6.70
BDB 157                  ; BDCC                ; 1.35 ;  6.63
BDB 164                  ; BDCC                ; 1.20 ;  7.20
BDB 167                  ; BDCC                ; 0.94 ;  6.40
BDB 179                  ; BDCC                ; 0.29 ;  6.70
BDB 18                   ; BDCC                ; 1.87 ;  6.00
BDB 180                  ; BDCC                ; 1.96 ;  8.25
BDB 181                  ; BDCC                ; 0.32 ;  6.70
BDB 183                  ; BDCC                ; 2.04 ;  8.55
BDB 184                  ; BDCC                ; 0.50 ;  6.00
BDB 193                  ; BDCC                ; 0.21 ;  8.92
BDB 207                  ; BDCC                ; 0.63 ;  8.29
BDB 220                  ; BDCC                ; 0.04 ;  7.20
BDB 222                  ; BDCC                ; 2.12 ;  6.60
BDB 227                  ; BDCC                ; 2.08 ;  6.62
BDB 229                  ; BDCC                ; 0.58 ;  8.53
BDB 236                  ; BDCC                ; 0.94 ;  7.70
BDB 238                  ; BDCC                ; 0.65 ;  7.35
BDB 239                  ; BDCC                ; 1.15 ;  6.90
BDB 243                  ; 2020Alessi          ;      ;  6.18
BDB 247                  ; BDCC                ; 0.90 ;  6.42
BDB 25                   ; BDCC                ;      ;  7.15
BDB 258                  ; BDCC                ; 1.08 ;  6.40
BDB 260                  ; BDCC                ;      ;  6.00
BDB 27                   ; 2014ApJ...783..130R ;      ;  6.18
BDB 30                   ; BDCC                ; 1.35 ;  6.50
BDB 49                   ; BDCC                ; 0.82 ;  7.50
BDB 57                   ; BDCC                ;      ;  6.30
BDB 59                   ; BDCC                ;      ;  6.30
BDB 6                    ; BDCC                ;      ;  5.78
BDB 73                   ; BDCC                ; 1.88 ;  6.67
BDB 81                   ; BDCC                ; 1.60 ;  9.10
BDB 85                   ; BDCC                ; 1.25 ;  8.28
BDB 9                    ; BDCC                ;      ;  6.50
BDB 94                   ; Kharchenko+ 2013    ; 1.399;  7.400
BDB 96                   ; BDCC                ; 0.83 ;  7.15
BDSB 1                   ; BDCC                ;      ;  6.18
BDSB 10                  ; Kharchenko+ 2013    ; 1.666;  7.600
BDSB 107                 ; Kharchenko+ 2013    ; 1.301;  6.400
BDSB 109                 ; Kharchenko+ 2013    ; 1.332;  7.150
BDSB 11                  ; Kharchenko+ 2013    ; 1.853;  8.400
BDSB 113                 ; Kharchenko+ 2013    ; 1.291;  6.000
BDSB 114                 ; 2019ApJ...885..131R ;      ;  6.34
BDSB 114                 ; Kharchenko+ 2013    ; 1.083;  6.335
BDSB 115                 ; Kharchenko+ 2013    ; 1.541;  8.065
BDSB 116                 ; 2014ApJ...783..130R ;      ;  6.00
BDSB 116                 ; Kharchenko+ 2013    ; 1.103;  6.000
BDSB 121                 ; Kharchenko+ 2013    ; 1.832;  6.000
BDSB 122                 ; BDCC                ;      ;  7.08
BDSB 127                 ; Kharchenko+ 2013    ; 1.770;  6.800
BDSB 131                 ; Kharchenko+ 2013    ; 2.186;  6.125
BDSB 136                 ; Kharchenko+ 2013    ; 1.728;  6.000
BDSB 137                 ; Kharchenko+ 2013    ; 1.666;  6.000
BDSB 139                 ; Kharchenko+ 2013    ; 1.562;  6.100
BDSB 15                  ; Kharchenko+ 2013    ; 1.270;  8.590
BDSB 151                 ; 2014ApJ...783..130R ;      ;  6.10
BDSB 151                 ; Kharchenko+ 2013    ; 1.893;  6.100
BDSB 156                 ; Kharchenko+ 2013    ; 1.905;  7.990
BDSB 16                  ; Kharchenko+ 2013    ; 1.083;  7.550
BDSB 165                 ; Kharchenko+ 2013    ; 1.374;  6.000
BDSB 166                 ; Kharchenko+ 2013    ; 1.093;  6.000
BDSB 18                  ; Kharchenko+ 2013    ; 1.145;  7.000
BDSB 21                  ; Kharchenko+ 2013    ; 1.103;  8.900
BDSB 22                  ; Kharchenko+ 2013    ; 0.604;  8.900
BDSB 23                  ; Kharchenko+ 2013    ; 1.249;  8.150
BDSB 24                  ; Kharchenko+ 2013    ; 1.457;  7.200
BDSB 3                   ; Kharchenko+ 2013    ; 1.083;  8.255
BDSB 30                  ; Kharchenko+ 2013    ; 2.436;  6.550
BDSB 31                  ; Kharchenko+ 2013    ; 0.999;  7.400
BDSB 37                  ; Kharchenko+ 2013    ; 0.979;  8.600
BDSB 44                  ; Kharchenko+ 2013    ; 0.899;  6.870
BDSB 46                  ; Kharchenko+ 2013    ; 0.760;  7.250
BDSB 47                  ; Kharchenko+ 2013    ; 0.999;  8.940
BDSB 48                  ; Kharchenko+ 2013    ; 1.549;  7.950
BDSB 5                   ; Kharchenko+ 2013    ; 1.208;  6.000
BDSB 51                  ; Kharchenko+ 2013    ; 1.680;  8.150
BDSB 61                  ; BDCC                ;      ;  6.30
BDSB 65                  ; BDCC                ;      ;  6.00
BDSB 68                  ; Kharchenko+ 2013    ; 0.906;  8.500
BDSB 71                  ; BDCC                ;      ;  6.48
BDSB 72                  ; BDCC                ;      ;  6.48
BDSB 73                  ; Kharchenko+ 2013    ; 0.541;  8.875
BDSB 74                  ; Kharchenko+ 2013    ; 1.020;  8.450
BDSB 77                  ; Kharchenko+ 2013    ; 0.833;  6.200
BDSB 8                   ; Kharchenko+ 2013    ; 1.562;  6.150
BDSB 81                  ; Kharchenko+ 2013    ; 0.833;  8.115
BDSB 82                  ; Kharchenko+ 2013    ; 0.833;  7.915
BDSB 88                  ; Kharchenko+ 2013    ; 0.416;  7.400
BDSB 90                  ; Kharchenko+ 2013    ; 0.854;  7.200
BDSB 91                  ; 2020A&A...640A...1C ; 0.563;  7.15
BDSB 91                  ; Dias 2021           ; 0.475;  6.736
BDSB 91                  ; Kharchenko+ 2013    ; 1.353;  6.650
BDSB 93                  ; 2020A&A...640A...1C ; 0.553;  7.20
BDSB 93                  ; Dias 2021           ; 0.718;  7.081
BDSB 93                  ; Kharchenko+ 2013    ; 0.666;  6.500
BDSB 96                  ; 2016DAML            ; 0.37 ;  6.70
BDSB 96                  ; 2020A&A...640A...1C ; 0.381;  6.90
BDSB 96                  ; Dias 2021           ; 0.478;  6.871
BDSB 96                  ; Kharchenko+ 2013    ; 0.364;  7.160
BH 110                   ; 2016DAML            ; 0.42 ;  9.00
BH 110                   ; Kharchenko+ 2013    ; 0.406;  8.000
BH 111                   ; 2016DAML            ; 0.25 ;  8.35
BH 111                   ; 2019 Bossini        ; 1.353;  8.438
BH 111                   ; 2020A&A...640A...1C ; 0.400;  8.29
BH 111                   ; Dias 2021           ; 0.463;  8.513
BH 111                   ; Kharchenko+ 2013    ; 0.416;  8.350
BH 118                   ; 2016DAML            ; 0.27 ;  8.60
BH 118                   ; 2020A&A...640A...1C ; 0.334;  9.28
BH 118                   ; Kharchenko+ 2013    ; 0.208;  9.045
BH 121                   ; 2020A&A...640A...1C ; 0.347;  6.42
BH 121                   ; Dias 2021           ; 0.413;  6.864
BH 121                   ; Kharchenko+ 2013    ; 0.500;  6.640
BH 131                   ; 2016DAML            ; 0.62 ;  9.10
BH 131                   ; Kharchenko+ 2013    ; 0.833;  9.200
BH 132                   ; 2016DAML            ; 0.645;  9.400
BH 132                   ; 2020A&A...640A...1C ; 0.388;  8.20
BH 132                   ; Dias 2021           ; 0.513;  8.120
BH 132                   ; Kharchenko+ 2013    ; 0.479;  8.450
BH 132                   ; Tarricq 2021        ;      ;  8.20
BH 140                   ; 2016DAML            ; 1.85 ;  8.20
BH 140                   ; Kharchenko+ 2013    ; 0.645;  9.400
BH 140                   ; wilton.unifei.edu.br;      ;  9.81
BH 144                   ; 2016DAML            ; 0.70 ;  8.90
BH 144                   ; 2020A&A...640A...1C ; 0.525;  9.17
BH 144                   ; Kharchenko+ 2013    ; 0.625;  9.000
BH 150                   ; 2020A&A...640A...1C ; 1.175;  7.34
BH 150                   ; Kharchenko+ 2013    ; 0.208;  7.500
BH 150                   ; Tarricq 2021        ;      ;  7.54
BH 151                   ; 2020A&A...640A...1C ; 1.269;  7.20
BH 151                   ; Dias 2021           ; 1.324;  6.772
BH 151                   ; Kharchenko+ 2013    ; 1.353;  6.600
BH 164                   ; 2016DAML            ; 0.13 ;  8.20
BH 164                   ; 2019 Bossini        ; 0.123;  7.810
BH 164                   ; 2020A&A...640A...1C ; 0.053;  7.51
BH 164                   ; Dias 2021           ; 0.139;  7.666
BH 164                   ; Kharchenko+ 2013    ; 0.312;  7.100
BH 164                   ; Tarricq 2021        ;      ;  7.52
BH 176                   ; Kharchenko+ 2013    ; 0.541;  9.800
BH 19                    ; 2016DAML            ; 0.71 ;  8.45
BH 19                    ; 2020A&A...640A...1C ; 0.613;  8.49
BH 19                    ; Dias 2021           ; 0.783;  8.513
BH 19                    ; Kharchenko+ 2013    ; 0.729;  8.755
BH 19                    ; Tarricq 2021        ;      ;  8.55
BH 200                   ; 2016DAML            ; 1.00 ;  7.35
BH 200                   ; 2020A&A...640A...1C ; 0.631;  8.21
BH 200                   ; Dias 2021           ; 0.823;  7.520
BH 200                   ; Kharchenko+ 2013    ; 1.041;  7.500
BH 200                   ; Tarricq 2021        ;      ;  8.32
BH 202                   ; 2016DAML            ; 0.87 ;  8.05
BH 202                   ; 2020A&A...640A...1C ; 0.575;  8.58
BH 202                   ; Dias 2021           ; 0.611;  8.763
BH 202                   ; Kharchenko+ 2013    ; 0.416;  7.600
BH 202                   ; Tarricq 2021        ;      ;  8.59
