Intrinsically very bright and/or large and/or massive galaxies

NOTES
1 QSO's or any kind of active galaxy without a discernible/measured diameter are excluded
2 Constraints: d <= 2.5 GPc AND (MB < -20 OR Diam > 40 Kpc) AND must have a discernible body
3 Objets that are individually not bright and/or large enough to be included here, but are bright/large if you consider the summed contribution of close
  companions are excluded, (e.g. few compact clusters listed as one entry in the ESO catalog), but intrinsically bright/large objects that are part of
  multiple systems (that probably canibalized many smaller galaxies) are included
4 Caveats: Is cannot be considered complete given that there are probably many giant/luminous BGC (Brightest Galaxy in Clusters) and a few nonstellar
  QSO's that are not included here
5 Sometimes objects listed here are larger and brighter than listed values due, e.g. to the presence of faint extended halos, to non-homogeinity as to
  what surface brightness level those values were measured, etc

Check: 2019ApJS..243...14O - The Ogle et al. Galaxy Catalog (OGC) (Ogle+, 2019)

Galaxy                   ;Alias           ;Diam'  ;Mag   ;Band;Type                       ;RV Km/s ;Dist MPc;Diam KPc;MB    ;Cluster/Group      ;Notes
Abell 2261 BCG           ;Leda 1981854    ;  0.26 ;13.89 ;g   ;cD                         ; 59609  ;        ;        ;      ;Abell 2261         ;Second largest core of any Gx known (firts is IC 1101)
UGC 7069                 ;                ;  0.77 ;15.7  ;B   ;Sb, ring                   ; 15173  ;        ; 115    ;      ;                   ;Largest ring galaxy (Ghosh & Mapelli, 2008). Aladin: ~1.5


TODO:

2MASX J15582002+2714000  ;                ;  0.77 ;14.5  ;    ;E, Sy1                     ; 25998  ; 371.4  ;  82.9  ;-23.4 ;Abell 2142         ;
2MASX J11301036+2031171  ;                ;  0.40 ;15.5  ;    ;                           ; 36197  ; 517.1  ;  60.2  ;-23.1 ;                   ;
2MASX J14190967-1928405  ;Leda 88983      ;  0.84 ;14.8  ;    ;                           ; 25476  ; 363.9  ;  88.6  ;-23.0 ;                   ;
ESO 358-47               ;                ;  1.23 ;13.9  ;    ;                           ; 16008  ; 228.6  ;  81.8  ;-22.9 ;                   ;
NGC 2793                 ;                ;  1.17 ;13.9  ;    ;                           ; 16404  ; 234.3  ;  80.0  ;-22.9 ;                   ;
NGC 333                  ;                ;  1.11 ;13.9  ;    ;                           ; 16226  ; 231.8  ;  74.6  ;-22.9 ;                   ;
UGC 10195                ;                ;  0.82 ;13.0  ;    ;                           ; 10546  ; 150.6  ;  36.1  ;-22.9 ;                   ;
MCG-02-02-046            ;                ;  0.71 ;14.0  ;    ;                           ; 16460  ; 235.1  ;  48.4  ;-22.9 ;                   ;
MCG+07-18-024            ;                ;  0.59 ;15.7  ;    ;                           ; 37085  ; 529.7  ;  90.5  ;-22.9 ;                   ;
MCG+08-24-006            ;                ;  0.51 ;16.0  ;    ;                           ; 41527  ; 593.2  ;  87.5  ;-22.9 ;                   ;
IC 1633                  ;                ;  2.27 ;12.2  ;    ;                           ;  7179  ; 102.5  ;  67.6  ;-22.8 ;                   ;
IC 1602                  ;                ;  1.08 ;14.0  ;    ;                           ; 15968  ; 228.1  ;  71.9  ;-22.8 ;                   ;
IC 38                    ;                ;  0.76 ;14.0  ;    ;                           ; 16352  ; 233.6  ;  51.8  ;-22.8 ;                   ;
MCG+00-60-013            ;                ;  0.68 ;15.0  ;    ;                           ; 25271  ; 361.0  ;  71.7  ;-22.8 ;                   ;
MCG+07-06-018            ;                ;  0.62 ;15.0  ;    ;                           ; 25362  ; 362.3  ;  65.3  ;-22.8 ;                   ;
Mrk 813                  ;                ;  0.35 ;15.4  ;    ;                           ; 31419  ; 448.8  ;  45.2  ;-22.8 ;                   ;
NGC 191                  ;                ;  1.92 ;12.0  ;    ;                           ;  6013  ;  85.9  ;  48.0  ;-22.7 ;                   ;
UGC 5515                 ;                ;  1.40 ;13.7  ;    ;                           ; 13029  ; 186.1  ;  76.0  ;-22.7 ;                   ;
MCG-02-05-071            ;                ;  1.29 ;14.0  ;    ;                           ; 15284  ; 218.3  ;  81.9  ;-22.7 ;                   ;
NGC 1759                 ;                ;  1.13 ;14.1  ;    ;                           ; 16261  ; 232.3  ;  76.4  ;-22.7 ;                   ;
NGC 6331                 ;                ;  1.04 ;14.0  ;    ;                           ; 15412  ; 220.1  ;  66.8  ;-22.7 ;                   ;
MCG-03-04-046            ;                ;  0.88 ;14.0  ;    ;                           ; 15227  ; 217.5  ;  55.9  ;-22.7 ;                   ;
MCG-02-04-061            ;                ;  0.81 ;14.0  ;    ;                           ; 15329  ; 218.9  ;  51.4  ;-22.7 ;                   ;
Mrk 876                  ;                ;  0.29 ;16.0  ;    ;                           ; 38673  ; 552.4  ;  47.1  ;-22.7 ;                   ;
ESO 256-11               ;                ;  1.65 ;13.6  ;    ;                           ; 11727  ; 167.5  ;  80.6  ;-22.6 ;                   ;
NGC 1218                 ;                ;  1.49 ;12.8  ;    ;                           ;  8519  ; 121.7  ;  52.7  ;-22.6 ;                   ;
NGC 1577                 ;                ;  1.48 ;13.0  ;    ;                           ;  9214  ; 131.6  ;  56.6  ;-22.6 ;                   ;
IC 30                    ;                ;  0.93 ;15.0  ;    ;                           ; 23606  ; 337.2  ;  91.5  ;-22.6 ;                   ;
IC 1741                  ;                ;  0.86 ;14.0  ;    ;                           ; 14900  ; 212.8  ;  53.4  ;-22.6 ;                   ;
MCG-02-03-051            ;                ;  0.74 ;14.0  ;    ;                           ; 14800  ; 211.4  ;  45.7  ;-22.6 ;                   ;
ESO 69-9                 ;                ;  1.95 ;11.7  ;    ;                           ;  4759  ;  67.9  ;  38.5  ;-22.5 ;                   ;
NGC 3978                 ;                ;  1.79 ;13.2  ;    ;                           ;  9791  ; 139.8  ;  72.7  ;-22.5 ;                   ;
NGC 7214                 ;                ;  1.53 ;12.5  ;    ;                           ;  6832  ;  97.6  ;  43.4  ;-22.5 ;                   ;
ESO 349-1                ;                ;  1.31 ;14.4  ;    ;                           ; 16736  ; 239.0  ;  91.3  ;-22.5 ;                   ;
IC 189                   ;                ;  0.93 ;13.7  ;    ;                           ; 12093  ; 172.7  ;  46.9  ;-22.5 ;                   ;
ESO 190-12               ;                ;  0.78 ;13.8  ;    ;                           ; 12727  ; 181.8  ;  41.4  ;-22.5 ;                   ;
MCG+00-02-060            ;                ;  0.74 ;14.5  ;    ;                           ; 17280  ; 246.8  ;  53.2  ;-22.5 ;                   ;
ESO 366-10               ;                ;  0.68 ;15.5  ;    ;                           ; 27974  ; 399.6  ;  79.0  ;-22.5 ;                   ;
Mrk 528                  ;                ;  0.60 ;15.3  ;    ;                           ; 25771  ; 368.1  ;  63.9  ;-22.5 ;                   ;
ESO 353-18               ;                ;  0.46 ;15.3  ;    ;                           ; 24955  ; 356.5  ;  47.7  ;-22.5 ;                   ;
ESO 86-62                ;                ;  1.72 ;13.6  ;    ;                           ; 10905  ; 155.7  ;  77.8  ;-22.4 ;                   ;
LEDA 69634               ;                ;  1.50 ;14.7  ;    ;                           ; 18116  ; 258.8  ; 112.9  ;-22.4 ;                   ;
ESO 14-8                 ;                ;  0.86 ;14.6  ;    ;                           ; 17343  ; 247.7  ;  62.2  ;-22.4 ;                   ;
ESO 285-4                ;                ;  0.83 ;14.4  ;    ;                           ; 16188  ; 231.2  ;  56.0  ;-22.4 ;                   ;
